,comments
1500,I&#39;ve worked with QA and I really loved.  Unfortunately I don&#39;t want to work with it for all the mentioned reasons here. People think that we are there to fix the problems that they already know about and expect us to let it pass.<br>I learned the hard way that HR is not there for the employees.
1501,"Sad thing it&#39;s still like that for gaming QAs, tried to start my career as a night QA at a big firm but couldn&#39;t last longer than a year. Now I do service desk at a nicer company for double the pay lol.<br><br>I was paid minimum wage and was told that they couldn&#39;t pay more during my review. A few weeks go by and the managers and the devs have a teambuilding with 6000$ (my salary for a year) worth of steak. The only time I got a 5% was because my country raised the minimum wage and they were forced XD.<br><br>Gives me hope to see someone as talented as Thor to have started like me. We all start from somewhere don&#39;t we?"
1502,"Get near the fireplace kids, it&#39;s story time."
1503,TikTok heros unite!!
1504,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=830"">13:50</a> Anyone can make a game. Blizzard is a brand."
1505,This looks awful for Mike Morhaime; email Mike is a W.
1506,his voice is fucking incredible
1507,"im gonna rant and wall of text here, just move on if you not into it<br>but as someone who lived back then...  it always puzzled the love that people have for Blizzard.<br><br>they always been the company that chased trends with bigger budget(sometimes)<br>the only game that truly felt &quot;we made this!&quot; by blizzard was The Lost Vikings<br>everything else is derivative even if competent(sometimes)<br><br>their RTS games started ammong bazilion games that followed Dune 2 and they became popular for being early and no refrain in &quot;borrowing&quot; from games workshop properties, i won&#39;t say they don&#39;t pushed the genre forward, they did but after 5 full games with expansions and uncountable patches, and a lot of other games to take inpiration to it is hard to not to. but at the same time is hard to say they completely changed the genre. like lets say what virtua fighter did to the fighting genre<br>so... they are good. but what else they did?<br><br>blackthorne is flashback but worse, i don&#39;t think i ever heard of someone who likes this game.<br>death and return of superman is just another snes beat em up, there is like 40 of them, and doesn&#39;t even look good.<br>justice league task force... i dont think i need to say anything about this one<br>rock and roll racing is fun and the standout of their console games. but is just a remake of their own game RPM racing which was just Rare&#39;s RC racing, and if we are to talk about copies. then less than a year latter konami had biker mice from mars which looked and played a lot better.<br><br>Diablo 1 and 2 were not made by Blizzard, they were made by blizzard north which was a company that blizard parent company bought and decided keep the branding for the new studio, it was completely independent from the proper blizzard.<br><br>then there is wow.<br>world of warcraft is literaly a clone of everquest 2 made by someone who played everquest 2 but with a much bigger budget. with the &quot;inpiration&quot; from warhammer being even more shameless than the RTSes. and anyone who played wow knows the experience of pullign their hair at patch notes that alternated between &quot;are they playing the same game we are?&quot; and BAD(tm)<br><br>and overwatch is team fortress period, but i give them props for making a game using p*rn characters<br><br>if we compare Blizzard for other devs of their time. like Capcom, the bitmap brothers, Sega, Enix, Konami, even EA at some level or Peter Molyneus before he went insane... Blizzard catalog is really not interesting besides their RTS"
1508,I see through a guys brain
1509,"So that Blizz 600, that’s why PvP was never delivered for D3 yeah?"
1510,I had no idea who mike morhaime was. Thor thought that was common knowledge?
1511,Thor not being in the video just sounds like Prime is talking to God 😂
1512,"Honestly, the word that I think best describes the management in this company during these last few years is just &#39;incompetence&#39;. Sure, can call them greedy and cringe too, but incompetent is what they really are."
1513,Please please collab more
1514,so much expirience in this convo
1515,The good thing is Non-Compete is no longer legal in the state of California.
1516,Thor&#39;s faceless voice makes it feel like Prime is talking to God.
1517,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=3539"">58:59</a> In the UK you absolutely cannot do this with a non-compete. They pay you or you are allowed to work. In fact, they cannot legally stop you from working in the same role at another game studio - you cannot frustrate trade without proving that I <b>have</b> taken your IP. If they want you to sit on your ass for 3 months they have to pay.<br><br>This is why everyone should be in a trade union. It is illegal (in the UK) to prevent union representation, but they do not have to recognise the union for collective barginning."
1518,"I did what your guest did at Microsoft back in the early 90&#39;s scripting user interaction via user input simulation from either external hardware, or user input drivers with injection methods."
1519,"Line manager = directly managing those 3 people. Think tema lead is line manager of the team, the teams skip manager would be the project manager managing multiple team leads directly  etc etc up the chain"
1520,"whoa, I also go learn programming because I was such a big fan of bliz, I dream of one day I can create warcraft 5 or 6 and see my name on credit screen"
1521,"The He/Him in the profile name needs to stop, though. He/Him is the obvious default for him, so why add that? I get a totalitarian vibe from this. How long before we are forced to add these or get fired?"
1522,"In the UK, companies have no ability to restrict your work without pay, and no additional things can be added to your contract, including the asking you to further restrict your employment options. When you go to leave and someone asks you to sign something, refuse. Your job is over, and so is their ability to get your to sign... ANYTHING.<br><br>You&#39;re not being an asshole, even if fake-emotion speak people try to make it feel like a betrayal."
1523,Love this collab!
1524,Wait I thought all the Star Craft barcode accounts were pro smurf accounts.
1525,"I was the first computer scientist in my family;  I was also a hacker (which was required when I was coming up;  we had to learn to read ASM to JMP before I actually knew assembly).  Now I have 5 cousins that are CSC.  One of them wanted to be a game dev in ~2008 during the real estate crash.  I immediately gave him the low down on the working conditions.  I told him to get a job for the gov&#39;t instead, and he could work on his game during free time.  I knew because we are in the exact city for some major game corps.  I had friends and I knew what was up.<br><br>Some kids have a hyped up image in their minds that working in the Gaming Industry is the land of &quot;milk and honey.&quot;<br>Please help mentor the naive."
1526,"Children, what to do when we eff up?<br><br> We press the button [Email Mike]."
1527,"i hate to be negative here, but why was there any reason for this man to stay at blizzard. i understand that they are perhaps the most legendary gaming company ever. <br><br>but they were treated so poorly. i actually think this classifies as abuse. sure victims of abuse have difficulty seeing it… but done ever talk to any other engineer at another company and realize that he was getting paid 1/5th the salary and working 3 times as hard with no benefits???<br><br>it just seems really stupid as an outsider."
1528,"That simple bit of advice to confirm verbal agreements with a short email is one I try to give to young workers. You have 3 bosses, and one wants you to work on project X right now. Simple email to them and cc the other two to confirm the new work is the priority."
1529,"Microsoft laid off much of that team, the guy said he was surprised they were considering promoting him. There&#39;s red flags the projects in the crosshairs everywhere."
1530,"This is a sad story, but for the algorithm i liked it. Again it&#39;s sad"
1531,There is black box QA and white box QA. Black box are morons in a sweatshop just banging on the keyboard. White box you are a programmer and basically dev.<br><br>Blizzard dev friend: &quot;QA is in a pit and every once in a while they throw mountain dew and pizza in there. I guess they are happy just playing games all the time.&quot;<br><br>All the good places I worked at had white box.
1532,"TLDR; American employment law is terrible, people get treated like slaves then thrown away. But you get to tell stories about it as you work through your PTSD therapy"
1533,"That blizzard firing technique was a diabolical mind f***k.  I&#39;ve only heard of some things during code jams back in the early 2000s, but those weren&#39;t jobs.  I can imagine the boss peeping through a secret painting with the eyes cut out (like its Scooby Doo or something).  LoL  Just to watch the madness unfold.<br><br>P.S.<br>I interned at a music studio once, and they had some girls do goose egg hunts (like a task sheet).  It was a race and the last one was fired.  Some corporations are nefarious.  I know for a fact the boss was laughing his buns off.<br><br>Now that I look back on everything, our bosses during the 90s to 2010 were power tripping insidious butt-wipes.<br><br>P.S. #2<br>There&#39;s some nuggets in this one.  I forgot all about &quot;autoit&quot;.  I did not expect some good sauce in this video."
1534,"As someone who survived a toxic work situation in 2023 also and HR that failed to help (not this bad tho), this post is triggering. My story ended more happy with the power of friendship and defeating a bully. Though, I still am dealing with the physical &amp; mental trauma a year later, the healing has been gradual."
1535,"Amazon also needs to treat QA seriously, because a bug in code of their site or AWS could cost them massive sums."
1536,Title should be Blizzard/Microsoft got away for this???
1537,This need millions views!
1538,"AutoIT Bro, i have such great memorys about it !!"
1539,reassimulate
1540,"I understand why people hate QA, BUUUT!!<br><br>its the most important role! You can hate them if you want, but they truly are the ones making sure everything works as expected.<br><br>Programmers dont test shit enough to get all bugs. You see it more often than not in open source software where there is no QA except like the lead programmer usually.<br><br><br><br>Sometimes i wish I had a QA so i can focus on programming. Since otherwise 90% of my time goes to testing if that one feature works properly or there might be an &quot;it works on my machine&quot; thing."
1541,"The irony of me getting some scam ass &quot;can you build Netflix in an hour&quot; ad right before this...including a fake explosion.<br><br>SHEEESH.<br><br>Anyway, I have a friend that relocated from NorCal to Irvine (SoCal) to work at Blizzard and the horrifying experience they had was SO BAD they quit...even after the company paid to relocate them. It was their dream job.<br><br>I remember when Blizzard was amazing. I blame Activision for some of this but I also feel like the whole general culture of game dev is really unhealthy for certain types of people. My brother&#39;s a game artist now. He&#39;s the perfect kind of asshole for that environment. Hoping that Blizzard can get its shit together and be good again but until they do, I&#39;ll continue to pan their product.<br><br>Cannot believe that a DIRECTOR had the cheek to tell QUALITY AUDITORS that they&#39;re replaceable when they&#39;re NOT.<br><br>EA is making these same errors and it&#39;s why everyone&#39;s just angry with them all the time. This is what happens when people who are not passionate about games and don&#39;t know how to make the products they&#39;re in charge of become leaders.<br><br>Really disgusting and sad."
1542,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=4345"">1:12:25</a> Karen shout out."
1543,Unions. That needs to be unions.
1544,QA is critical.  I worked in game Dev for a decade.  I depended on testers to find and reproduce bugs for me.
1545,"He touches on so many of my memories of working in silicon valley in the late &#39;90s early 2000s... The badge thing, holy shit! I remember being a consultant while working at Sun Microsystems and the horizontal badge people used to be terrified of us! Internal IT who was also evaluating their ability to do their jobs made us demi-gods. Even the lawyers would scatter when we came to close tickets! 😂"
1546,I didn&#39;tknow who Mike was. Thank you for asking Prime!
1547,"I know there are things like &quot;you shouldn&#39;t name names for your own sake&quot; and &quot;it&#39;s business, life is harsh&quot; etc but the people that did these things at Blizzard should be tarred and feathered for their behaviour, the very first stories of the people who got the night-shift QAs to do this loaded test and fired people for being the last to leave the room should be named and made into social pariahs, the Director who said everyone is replaceable during a morale boost should be persona-non-grata not just in the gaming industry but in all industries. If these people will flex their small amount of power over others at Blizzard like this, what are these people like if they get more social power?"
1548,"Most recent Blizzard BS I ran into (from the outside). I resubscribed for WoW, got my first month after getting the new expansion (Dragonflight), and then went to login and PATCH day. Yaaay. Normally this isn&#39;t too big a deal and you only lose a day, but this time around it was right after Blizzcon and something they did there caused the westcoast servers to slow down to nearly 12bytes pers second and log you out every hour or so. I spent a week in downloading patch hell. Contacted support and politely asked for imbursement of time, &quot;We don&#39;t do that anymore. If that were to happen, it&#39;d be up to the devs. You can leave a &quot;suggestion&quot; on the forums.&quot; Excuse me? Devs are in charge of time refunds for service interruptions that don&#39;t affect everyone? And why is it devs? And why is it on the forums where every Tom, Dick, and Harold can chime in? <br>Well, since I hadn&#39;t been able to login yet and use my newly purchased wow time, I asked if I can get a refund? &quot;Oh sure, we&#39;ll refund the entire month.&quot; <br> So instead of crediting me 3 days, they&#39;d rather refund my entire month. And since they created such a roadblock to get this far (we&#39;re talking 8-12 back and fourths using their in-game ticket system), I didn&#39;t resubscribe, even though that door was still open to me. <br>These are the kinds of dumb policy decisions that will inevitably cause Blizzard to dissolve over time. Taking away vested powers out of supports hands for issues, and having no way to report to higherups that significant problems are going on."
1549,One of the policies Microsoft is imposing on their Dev... is they want them to follow their product. They even have to do qa and deployment to staging and promote to prod. So the dev team has to follow through.
1550,BLUE HAIR PRIMEAGEN
1551,Bastards. That&#39;s all i have to say for them. Bastards.
1552,"Facts, Thor. Thx for sharing your story. Been there as well"
1553,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=413"">6:53</a> I fucking swear, at some point I think the corporate and universities should just employ the &quot;you are allowed to punch a manager for saying something delusional on the spot&quot; policy, because this level of brazen tone deafness and entitlement comes specifically for people who didn&#39;t get reality checked with a fist during their entire life. He didn&#39;t even fucking noticed that something he said was wrong, jesus christ."
1554,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=2094"">34:54</a> line manager AFAIK is additional abbreviated corp speak for “first line manager” meaning the first people to whom non-management employees report. Supervisors sometimes are not involved in rating/salary/bonus decisions where in theory line managers should be."
1555,"I once quit a job because I was lied to about the compensation package (had it reduced $2/hr for &quot;training&quot; after I started), and the company after the fact refused to comp. me for gas when I drove upwards of 1,000 mi/wk for them. Always get everything in writing, kids!<br><br>Anyone who wants to work in game dev for one of these companies is being sorely misled. This really is an industry that preys on un-savvy young people, harvesting their hopes and optimism to make games for cheap.  :("
1556,Epic video.
1557,"I respect prime for his skills and his passion to share his love for coding, but him having street cred is an absolutly based cherry on top"
1558,"Non-Compete clauses have actually never gone to court in the UK (no one has been brave enough). But, at least in Finance, everyone kinda knows that they have to be paid to be enforced, so no one tries to pull this bullshit (though would be nice to have legal clarity in the future). <br><br>Oh, also obviously you have to actually sign a contract with a non-compete clause in order for them to exercise it. They can&#39;t just say &quot;non-compete&quot; when you quit and expect it to mean anything."
1559,You could see the clash of Thor&#39;s more pro worker stance vs prime&#39;s more rugged individualist pro corporate pick yourself up by your bootstraps leaning.
1560,"I work for a small-ish 30 person game studio. We recently got purchased for a huge sum of money, and our CEO was promoted to the head of development in my country. In an era where every other studio is firing half their staff, massively downsizing, we&#39;re recruiting and still insanely profitable. A huge part of why we&#39;re able to do that is that we&#39;ve let our senior talent go into roles where they continue to do what they are good at. Our senior programming staff is all people who&#39;ve been at the company for 15+ years at this point. Insanely brilliant people, they know everything about the company, and the people too. We go to lunch with our QA people. They are some of the smartest and most engaged people in the company. They know fucking everything about the products, and are our proxy for the customer. We&#39;re trying to make them happy with the products."
1561,&#39;marvel snap is a really good game&#39;<br>never previously heard of it.
1562,Australia doesn&#39;t allow non-competes without pay.  Its better this way.
1563,"Chris Sayer is having a rude awakening, this is very standard in working env. I work in a small team as a freelancer, and before we get paid, and going forward, we always spent weeks or months to perfect the contract. Because everything is in the contract. NDA, SOW, Disclaimer, ownership, etc. It is always better to hire a lawyer early, then hire a lawyer when you needed it. Because when you are hiring a lawyer, you screw up bad, and you will get charged a lot. I know thor and prime make it sounds like you can get it free or cheap, but you will always ends up needing to talk to them a couple of times and they might not always agree with your agreement. From personal experience, always get it early before things escalate then when things are bad."
1564,qa is the backbone of success
1565,"Good video, great insights"
1566,QA is an absolutely necessary system in producing a good product. But there is truth in saying I can get bunch of high school kids to do this. I never seen the general QA position as career.<br>There are aspects of QA in regards to software that certainly fall into the engineering realm but the average testers job not so much. 90+% I can test without a person even. I can have one system interface with another system and run all the keyboard and mouse inputs to hell and back. I can fully automate it playing the game. People tend to be good for finding the stuff you don&#39;t expect people to do.
1567,"Imagine living in a state where switchblades are illegal, lol."
1568,"holy hell, I&#39;m in rapid city, there are other dev&#39;s here?"
1569,"H.R. might not inherently be bad people, but you do have to have some level of capability for cruelty to be able to sit there and &#39;oh I totally understand your opinion, one hundred percent&#39; someone to their face....<br><br>It&#39;s not too far from how executioners were viewed - you&#39;d think any good person would be driven crazy by that kind of job, so even the &#39;good&#39; ones probably aren&#39;t good for long..."
1570,"wow big company bad, surpise"
1571,"I mean just look at the last few years of game and software product releases, clearly QA is treated like shit. What&#39;s insane is that good QA can do so much to save these stupid companies from all their stupid ass lack of planning and bad design decisions before anyone sees it and yet they still don&#39;t learn. But then again you would think keeping people in roles where they bring the most value should be a priority not moving up and out but that&#39;s still a problem everywhere now."
1572,piratesoftware is like the howard stern of the dev world
1573,Worked at Activision on the Warzone/Modern Warfare QA team; can confirm this is 100% the vibe at Acti-Blizz (pre-M$ buyout)
1574,You built what? that Bifrost anecdote for testing diablo on console alone is worth an entire interview
1575,:O the yt shorts therapist and average rust programmer in one video!
1576,D4 bad
1577,"Microsoft has done some bad stuff, but my god I hope they clean up management hardcore, preferably with electroshock weaponry, because... It&#39;s borderline crimes against humanity, if what is said is only 65% true"
1578,The read-the-whole thing gimmick is literally a middle/high school tactic for either substitute teachers or bored gym-coaches required to have that one &quot;teaching class they have to sit for. Combine with middle-mgmt approach of cut the &quot;bottom&quot; 10% and you&#39;ve got toxic gold.
1579,&#39;We&#39;ve crossed streams&#39; AHAHAHAHAHAHA
1580,+1 HR is for R ... just not the H.
1581,"Email Mike is probably a great tool. Imagine the manager of someone emailing Mike for some issue, I bet he will shit his pants"
1582,"HR always is there to protect the company from the employees and in some binine instances, they will help the employee, if it does not adversely affest the company. My problem is that the branding that HR often creates for their group is not communicating these facts and often manipulates employees into think the opposite. As Prime says, their is no way around this, HR will always be primarily concerned with the companies interests. Even if they created a second department that was there to advocate for the employee, at the end of the day, that department is still owned by the company and would never do anything outside the companies interest. Companies do not have sould or morals or ethics, outside of what laws and regulations are enforced upon them. The only advocate that the employee truly has is either themselves or a UNION or GUILD!!!!! The US has been brainwashed into thinking that Unions are something different from a collection of fellow workers, banding together to negotiate with company for a better life. The alternative is a bunch of individuals, negotiating for themselves with little to no leverage. Unless you are a one in a million superstar, you are expendable and have no leverage. If you make employing you an inconvenience, by wanting a fair wage or benefits, they will just cut you loose and who will fight for you then? HR?"
1583,Blizzard will end up in the most epic TheDailyWTF article ever at this rate.
1584,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=2640"">44:00</a> such an amazing idea. <br>Also, the &quot;offensive HR&quot; sound just like antibodies in the human system which kill malignant cells. <br>Or maybe the even better anology is the cells that train the human body - they kill off anything defective."
1585,i&#39;ve recently witnessed the &quot;QA getting ahead of dev&quot; thing... was confused as to why it was happening but realized there&#39;s just no leadership anywhere
1586,They literally made QA yellow and brown? Piss and shit?
1587,"This guy comes off as extremely full of shit. Bad vibes, I would stay away from this guy probably a pathological liar"
1588,"As a QA you can get ahead of development by reading designs, product roadmaps, etc... are you saying code needs to be there for a QA to start writting tests ? Assuming QAs are doing functional tests, they don&#39;t even need to see the code they&#39;re testing they just need to know what the outcome of running the code should look like."
1589,81 minutes for the history books.
1590,These are literally my 2 favorite creators! I need more of Prime x Thor!!
1591,"I’m from Montana and the Billings story totally checks out for the time<br><br>I’m in Bozeman, who is sushi dragon?!"
1592,"A lot of these business practices are illegal in other countries. For example, in the UK, HR depts are obliged to provide &#39;reasonable adjustments,&#39; for protected characteristics. When an employee has medical conditions, change in life circumstances or bereavement. It seems like if you&#39;re in the US, they can just fire you if you&#39;re too &#39;demanding&#39; of an employee."
1593,Pirate is actually not right about Ben Brode case. <br>1) Marvel Snap is a success just because it&#39;s Marvel. There are tens of thousands mobile card games made by passionate card game lovers and they make nothing (and will not make anything).<br>2) No other former Blizzard employee had any success such as this. So Ben Brode is actually exception.<br>3) Big studios buying small studios is EVIL! It breaks them. And MS - Blizzard deal is no different. People TOLD YOU this is how things will work out and they did. And now you act surprised. Literally all smart people told that MS deal was a HUGE mistake.
1594,wow blizarrd seems like such a trash fire of capitalistic company
1595,The thing that realy makes me happy is that Mike Morhain was not part of this shit and instead trying to be the good soul of the company. Because i always respected him and hoped he wasn&#39;t secretely a corporate asshole.
1596,Am I dreaming?
1597,"Did any Indians get stabbed lol, if someone has to lose will you be the one to take it on, and Like hordes of actual Indians or Natives coming to beat up girls tf lol?"
1598,marvel: infinity war was the most ambitious crossover event in history. <br>prime:
1599,Horrendous.  Good QA is awesome and critical on projects.  They were fantastic on [redacted]
1600,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=3805"">1:03:25</a> I haven&#39;t set a property on fire recently, but I have done it before. I can definitely win in a scenario like that. You may not like the ways, but there are always ways to win. Screw me out of my pay? No problem, I&#39;ll ensure you lose more than I did. The race to the bottom takes a level of constitution that most of the fragile sensitive egos in the software industry don&#39;t have the stomach for."
1601,is asmon reacting to this?
1602,I really really enjoy the combo of prime and Thor &lt;3
1603,This is peak content
1604,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=1133"">18:53</a> just testing something about comments with timestamps"
1605,QA is dev? depends...<br>if you&#39;re just doing manual testing and i have to help as a dev the QA tester to get his tests done (given i don&#39;t hold specialized knowledge to get the test done) then sorry no you&#39;re not a dev.<br>I&#39;ve yet to encounter a QA person like piratesoftware
1606,"Whenever I hear someone say &quot;HR is there to protect the company from you&quot;, I just feel like Rorschach in prison.<br><br>&quot;None of you seem to understand. I&#39;m not locked in here with you. YOU&#39;RE LOCKED IN HERE WITH ME!&quot;"
1607,HR is the devil and you can&#39;t change my mind
1608,Can you put the IRL stream with you guys? Id love to watch it.
1609,"&quot;oh so you try to re-read better and understand by taking a little more time? Bad QA. Real QA only do exactly what they are told. That&#39;s how you simulate having users, we all know users only follow pre-built bath&quot;"
1610,"I am 10 minutes in, and this is already one of the most cathartic things I&#39;ve ever listened to."
1611,Dyed hair?
1612,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=3000"">50:00</a> I used to think location based pay was BS as well, until I thought about the eventuality of the situation. Take away location based pay, and then all wages become Vietnam or Argentina wages, where software devs make 5-10% of what they do in the USA. Would you take minimum wage to be a VP watching over a few hundred people? No? Well tough, that&#39;s what happens without location based pay."
1613,"Barcodes in starcraft might in some cases be cheaters, and certainly I&#39;ve not played a sc ladder game in awhile so i dont know the state of cheating in that game, but barcodes are a tradition for pros to obscure their identity to other players while practicing so the top of the ladder is always going to contain barcodes"
1614,I mean HR literally means human resources. it&#39;s in the title that employees are resources managed for the company. So of course they are here to protect the company not the resources.
1615,"This is a bizarro world being described here. Back in the 1980&#39;s when I worked on avionics, think Fly By Wire, the devs and the QA were all in the same boat. We all had to understand the same system and specs. One side to implement it, the other to verify it.  And I thought old UK was rife with class divisions."
1616,Dude I needed to hear this. I personally didn’t have respect for QA before watching this video.
1617,you are to spamy!
1618,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=2892"">48:12</a> HAD ME FUCKING SCREAMING LIKE WHAT THE FUCK"
1619,absolute based
1620,Damn I wish I was a gentleman
1621,You have inspired me to rock just the mustache
1622,"Oh, dude, I know some people who worked at Blizzard and have some horrible stories about that company; it can get way worse.<br><br>Imagine this: everything said here, plus you are a foreigner on a visa who will have to leave the country if you lose your job. The amount of abuse only increases exponentially from there."
1623,"Non competes are unenforceable in the UK. If you wish to enforce it you need to pay what is called &quot;garden leave&quot;. California also banned non competes from 1 Jan, 2024."
1624,"Some years ago, maybe since 2019, I simply uninstalled battlenet given the bad vibes I was getting from blizzard and never played anything from them since then. I now realize it was worst than I thought."
1625,&quot;Can&#39;t believe they did that to the guy that created Roller Coaster Tycoon&quot; LMAO<br>Had to do a double take as well verifying it wasn&#39;t THE ACTUAL Chris Sawyer name
1626,thank you for doing a stream with Pirate Software
1627,"I still think HR was wrong there. I mean, obviously everyone was wrong! but I mean even in the context of HR&#39;s role. HR needs to see a case like this and go &quot;we better get rid of this manager or we&#39;ll get sued to hell and back&quot;, which happened before and will probably happen again. And that flaw in HR enables more shithead behaviors to come."
1628,"I&#39;m sorry, I have a hard time cutting Mike Morhaim some slack. Things cannot get this bad without him knowing. And if they do, that doesn&#39;t speak very highly of him either."
1629,Only reason a CEO is isolated from problems is because he sits in his ivory tower painting pictures on a whiteboard.<br><br>A good general does random inspections and talks to the grunts.
1630,Holy shit two gods
1631,"My wardrobe is very similar to Thor&#39;s, though i do have a couple of additional shirts for good measure."
1632,Game recognises game
1633,it&#39;s so awesome to see you guys making content together
1634,"Wild... the UK does recognize a concept called &quot;restrictive covenants&quot; in employment law, under which a former employee can be restricted from working. If such a covenant is enforceable depends on what terms are in the contract and what the covenant is supposed to protect it seems.<br><a href=""https://www.gov.uk/handing-in-your-notice/restrictive-covenants"">https://www.gov.uk/handing-in-your-notice/restrictive-covenants</a>"
1635,This was a really good collab. 🔥🔥
1636,another alpha in it to subscribe on
1637,not to be a hater but &quot;career in QA &quot; is crazy
1638,commenting because I like the both of you
1639,"&quot;getting ahead of development&quot; it&#39;s like management heard about test driven development and were like, well, we&#39;re not gonna do fake agile like other industries, but we can at least bastardize this concept"
1640,"If you are in a &quot;Pseudolead Position&quot; (=&gt; You Lead but dont get the money for it) dev or QA and you EVER hear that Sentence from a &quot;Higher Up&quot; or even worse &quot;HR&quot;<br>&quot;Yeah we know that you have high standards, but ...&quot; and in the end you are always the one who has to care about &quot;fires&quot; and fire in the most hours &quot;of your team&quot;.<br><br>Dont think - run! in the really first instance you hear that sentence, that company will destroy you. Thats one of the most valueable lesson ive learned."
1641,"Serious Stockholm Syndrome here, Mike was a loser that failed systematically at his job and should have quit if he couldn&#39;t do it..<br><br>Or Mike didn&#39;t give a shit."
1642,&quot;EU law&quot; i wish
1643,"I&#39;ve probably lived under a rock, but I am kinda shocked that all the games I enjoyed playing as kid were made under such awful conditions"
1644,People need to stop putting up with the shit treatment. They get away with it because people let them.
1645,The biggest mistake blizzard made was hiring someone who puts pronouns in their title.
1646,When I was in college back in 2004-2010 Blizzard was rumored/known to give very low starting salary for developer roles. One of many reason why I stopped caring about going into video game development especially so from &quot;AAA&quot; companies and time crunch development cycles.
1647,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=1331"">22:11</a> - Our company doesn’t have HR, it has FBI style “Office of Professional Responsibility”. They have the duty to enforce professionalism in the company by employees, with a magnifying glass on officers of the company :)"
1648,"He should have made it as public as possible and gotten a lawyer IMMEDIATLY. This whole thing was so fucking illegal. He could have retired on the money he would have gotten. They would have paid him just to not fuck their deal with Microsoft. If he didn&#39;t get a promotion, where did the non compete even come from? Not to mention, LEADERSHIP is 100% a vertical promotion because you are ABOVE others in the responsibility chain. It is in the definition of the word. He should have sued them for fraud, extortion and emotional damages. EU law protects you a ton more than US law. I got 9 weeks paid for an hourly wage job."
1649,"I totally enjoyed playing WarCraft II, StarCraft, WarCraft III, and StarCraft 2.  It was shocking to discover just how horribly the company treated most of the people who worked so hard on games I loved."
1650,A smart developer befriends good QA talent to become a 10x-100x dev
1651,"Thor lulling me asleep with that nice baritone, the prime yapping like the monkey he is. Lovely. Always a good evening view"
1652,Prime is like the rest of us. He just wants to hear Thor speak.
1653,"I have a bachelor&#39;s degree in game design, have worked for game companies and also owned a small indie studio. And all I can say after spending years in game development: It sucks! It&#39;s a broken, unhealthy, destructive world. I would never go back in my life."
1654,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=2897"">48:17</a> BRUH that&#39;s wild 😂💀"
1655,Primgeagen and piratesoftware collab lets gooo!
1656,This is why unions should be a legal requirement every where.
1657,“Imagine getting fired for being meticulous.” That happens all the time
1658,Yo! I wasn&#39;t expecting this colab but I&#39;m happy about it!
1659,"Metzen: &quot;Was it the b#@$hit?&quot; <br><br>Ooof, that hurts to hear as someone who basically grew up with this dude&#39;s work."
1660,"Where I work its the exact opposite, QA/Testers are treated like gods."
1661,"As an European, I am always stunned that you have absolutely no rights as an employee in the U.S. None of this would be possible here"
1662,good collab prime 🎉😮
1663,"Amazing entertainment, thanks guys"
1664,Blizzard was fucking Guantanamo. What the fuck?!
1665,Psoft’s Blizz story is so upsetting
1666,"HR is about the management of human resources to benefit the company maximally.<br>Sometimes that means protecting the company by firing &#39;uppity&#39; employees complaining about management.<br>Other times it means helping you make a lateral move to a position you find more fulfilling or helping you upskill by providing or paying for training/courses. <br>It depends on the company culture, do they think content/happier employees to be more productive or do they think that undervalued, miserable employees do the same work as content/happier employees, and so tries to get them to do more work for the same pay."
1667,"Here&#39;s PirateSoftware&#39;s Twitch VOD ID: 2057606083, starts about seven hours in."
1668,Blizzard is dead.
1669,"if there ever I had any doubts about buying anything blizzard... there it goes, I will never buy anything again, screw M$ for buying a rotten company."
1670,honestly what an amazing collab. A joy to watch these two together.
1671,"Basically any good game or good studio was done under asshole managers and crunch.  Even Tim Cain has basically said crunch is necessary and if you want a good game then work life balance comes second. Bethesda crunched for years along with Naighty Dog, Epic games, and From Sodtware.<br><br>You want to know why games are bad now? Nope not woke or microtransactions or corporate."
1672,vegeta goku fusion
1673,Parables can be drawn with Boeing. The brain drain’s a real problem.
1674,&quot; it wasnt chump change man it was like 250k&quot;.... primeagan trying to hold a straight face as hard as possible &quot;.....nice&quot;😂
1675,"<a href=""https://www.youtube.com/watch?v=KGQSTDm5ois&amp;t=3431"">57:11</a><br>In psychiatry, anything related to saying that you understand is said to be avoided at all cost.<br>You cannot understand someone. You can be empathethic towards his or her situation, but you can never trully 100% understand that person`s feeling or emotional state.<br>It easily derails because who the hell are you to understand anyway?<br>Very bad practice. Never tell someone that you ``understand`` when confronted with their plight."
1676,Bro this needs to be a podcast. I feel like I&#39;m mainlining black tar content rn.
